                   Package   Version
               RPostgreSQL     0.6-2
                 rprojroot     1.3-2
                   RSQLite       2.0
                rstudioapi       0.7
                      rsvd       0.9
                 rversions     1.0.3
                     rvest     0.3.2
                 S4Vectors    0.16.0
                  sandwich     2.4-0
                    scales     0.5.0
                  SCAN.UPC    2.20.0
                   selectr     0.3-1
                     shiny     1.0.5
                      snow     0.4-2
               sourcetools     0.1.6
                        sp     1.2-7
                   SparseM      1.77
                stringdist   0.9.4.6
                   stringi     1.1.6
                   stringr     1.3.0
      SummarizedExperiment     1.8.1
                       sva    3.26.0
                   svglite     1.2.1
                       TDM       0.3
                    testit       0.7
                  testthat     2.0.0
                   TH.data     1.0-8
                    tibble     1.4.2
                     tidyr     0.8.0
                tidyselect     0.2.4
                 tidyverse     1.2.1
                      utf8     1.1.3
                   viridis     0.5.0
               viridisLite     0.3.0
                   whisker     0.3-2
                     withr     2.1.1
                       XML 3.98-1.10
                      xml2     1.2.0
                    xtable     1.8-2
                   XVector    0.18.0
                      yaml    2.1.17
                  zlibbioc    1.24.0
                       zoo     1.8-1
